low_bound_RSNP	upper_bound_RSNP	wind_size_RSNP	mid_wind_RSNP	pca_asse1_SNPrange	pca_asse2_SNPrange	Nb_SNP_range	chr
23716	2695473	2671757	1359594.5	0.266975974241767	0.230602115021334	1001	SUPER_10
2695473	4696038	2000565	3695755.5	0.165484141318007	0.128062324294464	1001	SUPER_10
4696038	6735624	2039586	5715831	0.197592512614749	0.146271742561433	1001	SUPER_10
6735624	8634503	1898879	7685063.5	0.167970690882369	0.135255603069143	1001	SUPER_10
8634503	10742292	2107789	9688397.5	0.175061568722939	0.130310789442514	1001	SUPER_10
10742292	12095449	1353157	11418870.5	0.166765493167449	0.125607951033496	1001	SUPER_10
12095449	14060731	1965282	13078090	0.157409864344019	0.113603788917118	1001	SUPER_10
14060731	16136585	2075854	15098658	0.143780017173211	0.121981427463277	1001	SUPER_10
16136585	18438838	2302253	17287711.5	0.209993474320888	0.117786360277945	1001	SUPER_10
18438838	20570673	2131835	19504755.5	0.212401546778591	0.161636349016444	1001	SUPER_10
20570673	21768450	1197777	21169561.5	0.274150517805653	0.10527459294518	1001	SUPER_10
21768450	24255903	2487453	23012176.5	0.183430365281075	0.107710574583899	1001	SUPER_10
24255903	26061447	1805544	25158675	0.132603831034372	0.120721547908849	1001	SUPER_10
26061447	26834573	773126	26448010	0.313659150580292	0.112439970375345	1001	SUPER_10
26834573	28572727	1738154	27703650	0.224114558870979	0.135530332531446	1001	SUPER_10
28572727	31481197	2908470	30026962	0.16240865858309	0.155634798124441	1001	SUPER_10
31481197	34484640	3003443	32982918.5	0.159794437774116	0.12315693752599	1001	SUPER_10
34484640	37760952	3276312	36122796	0.174916244135361	0.110911755381783	1001	SUPER_10
37760952	40384980	2624028	39072966	0.155615639403061	0.140512589515211	1001	SUPER_10
40384980	41182966	797986	40783973	0.290475517093848	0.130175324136766	1001	SUPER_10
41182966	43699944	2516978	42441455	0.214156059389074	0.172893371791494	1001	SUPER_10
43699944	46362256	2662312	45031100	0.192796575498264	0.126401855417298	1001	SUPER_10
46362256	49264467	2902211	47813361.5	0.255949260100318	0.140552974096843	1001	SUPER_10
49264467	52936772	3672305	51100619.5	0.229467011830531	0.162865849154533	1001	SUPER_10
52936772	55989914	3053142	54463343	0.189035884059555	0.134402245788061	1001	SUPER_10
55989914	58759577	2769663	57374745.5	0.223529868292002	0.184739893026346	1001	SUPER_10
58759577	61640419	2880842	60199998	0.191927756929442	0.16690046904516	1001	SUPER_10
61640419	65329318	3688899	63484868.5	0.258403184741486	0.219414632697724	1001	SUPER_10
65329318	70372993	5043675	67851155.5	0.243585478525098	0.144950165841076	1001	SUPER_10
70372993	74688369	4315376	72530681	0.185053865664344	0.150677667048834	1001	SUPER_10
74688369	77115045	2426676	75901707	0.378674312633317	0.156963470828452	1001	SUPER_10
77115045	78416816	1301771	77765930.5	0.466295768600986	0.20625981484542	1001	SUPER_10
78416816	83116751	4699935	80766783.5	0.196234973431315	0.15329568583744	1001	SUPER_10
83116751	86826690	3709939	84971720.5	0.406041138567474	0.152908757227746	1001	SUPER_10
86826690	89131793	2305103	87979241.5	0.359953693670483	0.110467645726	1001	SUPER_10
89131793	91292290	2160497	90212041.5	0.295908587954775	0.167135171599072	1001	SUPER_10
91292290	95068633	3776343	93180461.5	0.228635046815325	0.207825444587435	1001	SUPER_10
95068633	98121175	3052542	96594904	0.37314595952391	0.14998146199587	1001	SUPER_10
98121175	101259177	3138002	99690176	0.198469874793487	0.127863346169985	1001	SUPER_10
101259177	104544207	3285030	102901692	0.434587674146487	0.116626156561879	1001	SUPER_10
104544207	107253552	2709345	105898879.5	0.456023891654224	0.135066323069159	1001	SUPER_10
107253552	111808470	4554918	109531011	0.369074521608726	0.116352192162142	1001	SUPER_10
111808470	114772157	2963687	113290313.5	0.300533805593518	0.132043824847269	1001	SUPER_10
114772157	118087340	3315183	116429748.5	0.28143137882463	0.204892298265237	1001	SUPER_10
118087340	120829935	2742595	119458637.5	0.171067092826222	0.137733886792636	1001	SUPER_10
120829935	123388234	2558299	122109084.5	0.17479385658888	0.120581776838077	1001	SUPER_10
123388234	125235106	1846872	124311670	0.197640820237014	0.137442229707231	1001	SUPER_10
125235106	129128300	3893194	127181703	0.171509051871391	0.129248676455141	1001	SUPER_10
129128300	131801560	2673260	130464930	0.242274338174238	0.145314709701017	1001	SUPER_10
131801560	134688545	2886985	133245052.5	0.200015569640471	0.163257916608088	1001	SUPER_10
134688545	135968171	1279626	135328358	0.221053194337183	0.185646877399476	1001	SUPER_10
135968171	138524736	2556565	137246453.5	0.192358763072201	0.151777144254774	1001	SUPER_10
138524736	141575252	3050516	140049994	0.178873704896069	0.162481360604385	1001	SUPER_10
141575252	143107672	1532420	142341462	0.224377584499957	0.102575570667297	1001	SUPER_10
143107672	145860342	2752670	144484007	0.282413690346162	0.130769725822908	1001	SUPER_10
145860342	148662148	2801806	147261245	0.254973691185125	0.144543278537531	1001	SUPER_10
148662148	151069282	2407134	149865715	0.159739154536374	0.113834171773887	1001	SUPER_10
151069282	152916755	1847473	151993018.5	0.205072922371891	0.114050322294549	1001	SUPER_10
152916755	155259197	2342442	154087976	0.200363614673454	0.149657006887663	1001	SUPER_10
155259197	156967367	1708170	156113282	0.176250633401066	0.132234771902724	1001	SUPER_10
156967367	158588036	1620669	157777701.5	0.189625604096583	0.125683542046442	1001	SUPER_10
158588036	160138364	1550328	159363200	0.180943574346813	0.103245083873881	1001	SUPER_10
160138364	161686688	1548324	160912526	0.17979121725964	0.138910445055199	1001	SUPER_10
161686688	163565370	1878682	162626029	0.142107433538414	0.134884225513616	1001	SUPER_10
163565370	165036968	1471598	164301169	0.178629146041919	0.130824590621113	1001	SUPER_10
165036968	166804894	1767926	165920931	0.162263876060912	0.104213594263391	1001	SUPER_10
166804894	168467935	1663041	167636414.5	0.177783222889672	0.157676704442763	1001	SUPER_10
168467935	170296732	1828797	169382333.5	0.223002262534653	0.139344209139849	1001	SUPER_10
170296732	171304545	1007813	170800638.5	0.404568983758455	0.148444628887869	1001	SUPER_10
