"low_bound_PC" "upper_bound_PC" "mid_wind_PC" "Nb_SNP_PCA" "pca_asse1" "pca_asse2"
"1" 1 1000001 500001 "Na" NA NA
"2" 500001 1500001 1000001 "383" 0.425639705946117 0.2700835196313
"3" 1000001 2000001 1500001 "461" 0.319713287321622 0.264444457329752
"4" 1500001 2500001 2000001 "415" 0.276514687743353 0.17197519353854
"5" 2000001 3000001 2500001 "487" 0.206988492094948 0.153743260814289
"6" 2500001 3500001 3000001 "481" 0.212919586130303 0.172646931209428
"7" 3000001 4000001 3500001 "551" 0.194732703231104 0.160932501715516
"8" 3500001 4500001 4000001 "498" 0.183413528858982 0.165090250672798
"9" 4000001 5000001 4500001 "459" 0.202954072934697 0.141925363176447
"10" 4500001 5500001 5000001 "543" 0.186865379493071 0.132468603756179
"11" 5000001 6000001 5500001 "504" 0.212453074225855 0.15356586015273
"12" 5500001 6500001 6000001 "484" 0.265001336726452 0.144730919310065
"13" 6000001 7000001 6500001 "390" 0.258757140481695 0.198881590173616
"14" 6500001 7500001 7000001 "425" 0.209598431871915 0.142497987487248
"15" 7000001 8000001 7500001 "553" 0.208844897570338 0.158472073941774
"16" 7500001 8500001 8000001 "607" 0.204984379059575 0.175227781983501
"17" 8000001 9000001 8500001 "502" 0.160401475298901 0.152878436197839
"18" 8500001 9500001 9000001 "402" 0.222187377258353 0.104031401830708
"19" 9000001 10000001 9500001 "454" 0.235230211525013 0.156864504715902
"20" 9500001 10500001 10000001 "549" 0.181497863716134 0.171393553553844
"21" 10000001 11000001 10500001 "594" 0.173179715176217 0.153298444879544
"22" 10500001 11500001 11000001 "532" 0.174942408590568 0.129598419243569
"23" 11000001 12000001 11500001 "743" 0.203248567933153 0.131902759672626
"24" 11500001 12500001 12000001 "760" 0.165057322638684 0.153334853037324
"25" 12000001 13000001 12500001 "494" 0.238076705262634 0.101868829293208
"26" 12500001 13500001 13000001 "509" 0.209795107460554 0.125092768103775
"27" 13000001 14000001 13500001 "571" 0.154383000185772 0.1447215038163
"28" 13500001 14500001 14000001 "476" 0.175797969270647 0.145098279165675
"29" 14000001 15000001 14500001 "395" 0.17532002939439 0.138900193813497
"30" 14500001 15500001 15000001 "501" 0.175942454386872 0.141735433811051
"31" 15000001 16000001 15500001 "552" 0.187688120294908 0.157539113160238
"32" 15500001 16500001 16000001 "462" 0.178599626304061 0.137026662486972
"33" 16000001 17000001 16500001 "353" 0.210599360152326 0.171174881154642
"34" 16500001 17500001 17000001 "424" 0.26730188514952 0.138874453745216
"35" 17000001 18000001 17500001 "551" 0.245337924641461 0.116756734887638
"36" 17500001 18500001 18000001 "463" 0.201824294861192 0.143597557486876
"37" 18000001 19000001 18500001 "348" 0.203208663519301 0.195243703542822
"38" 18500001 19500001 19000001 "488" 0.206009484214316 0.155327690918777
"39" 19000001 20000001 19500001 "590" 0.25827552851072 0.138827849490437
"40" 19500001 20500001 20000001 "465" 0.271543492649377 0.194429143641807
"41" 20000001 21000001 20500001 "460" 0.191272670419998 0.149952773996775
"42" 20500001 21500001 21000001 "623" 0.296451077174105 0.118134110851217
"43" 21000001 22000001 21500001 "944" 0.31088440440246 0.123477569096721
"44" 21500001 22500001 22000001 "708" 0.244274216712992 0.152008612609851
"45" 22000001 23000001 22500001 "Na" NA NA
"46" 22500001 23500001 23000001 "314" 0.211667893754676 0.169055290511075
"47" 23000001 24000001 23500001 "434" 0.238906286379545 0.148985825882221
"48" 23500001 24500001 24000001 "482" 0.260229418431494 0.112198801340289
"49" 24000001 25000001 24500001 "458" 0.197675120702617 0.145809657201621
"50" 24500001 25500001 25000001 "416" 0.182403944666024 0.156382283007935
"51" 25000001 26000001 25500001 "384" 0.189931589402166 0.15615071305341
"52" 25500001 26500001 26000001 "910" 0.162178608134182 0.143754775587613
"53" 26000001 27000001 26500001 "1479" 0.284595628839634 0.107061251449224
"54" 26500001 27500001 27000001 "1165" 0.396286026115831 0.1186200088876
"55" 27000001 28000001 27500001 "627" 0.225008679100844 0.142159748225694
"56" 27500001 28500001 28000001 "387" 0.220387064184257 0.139255841566659
"57" 28000001 29000001 28500001 "Na" NA NA
"58" 28500001 29500001 29000001 "325" 0.245345112153388 0.167024076293517
"59" 29000001 30000001 29500001 "342" 0.2092849510802 0.164225860525197
"60" 29500001 30500001 30000001 "Na" NA NA
"61" 30000001 31000001 30500001 "318" 0.243280101206881 0.171646885857996
"62" 30500001 31500001 31000001 "444" 0.185120068138324 0.139998902762374
"63" 31000001 32000001 31500001 "469" 0.231245459296115 0.148478856597524
"64" 31500001 32500001 32000001 "442" 0.223032513020337 0.186215016066024
"65" 32000001 33000001 32500001 "335" 0.18290005353372 0.149756834668758
"66" 32500001 33500001 33000001 "Na" NA NA
"67" 33000001 34000001 33500001 "Na" NA NA
"68" 33500001 34500001 34000001 "Na" NA NA
"69" 34000001 35000001 34500001 "374" 0.204146269971321 0.148509752407823
"70" 34500001 35500001 35000001 "352" 0.193221094207818 0.169436764584417
"71" 35000001 36000001 35500001 "Na" NA NA
"72" 35500001 36500001 36000001 "Na" NA NA
"73" 36000001 37000001 36500001 "314" 0.268053048611305 0.159249675908523
"74" 36500001 37500001 37000001 "Na" NA NA
"75" 37000001 38000001 37500001 "307" 0.296955380744195 0.119634619302575
"76" 37500001 38500001 38000001 "373" 0.272462285609143 0.171846163019684
"77" 38000001 39000001 38500001 "355" 0.224247742977957 0.192911311474929
"78" 38500001 39500001 39000001 "317" 0.247532970713814 0.183580426083908
"79" 39000001 40000001 39500001 "Na" NA NA
"80" 39500001 40500001 40000001 "828" 0.198097564668073 0.132821863794887
"81" 40000001 41000001 40500001 "1234" 0.264806433937702 0.120330908809081
"82" 40500001 41500001 41000001 "721" 0.270875654304973 0.171075474834889
"83" 41000001 42000001 41500001 "450" 0.24813195303285 0.201244395890242
"84" 41500001 42500001 42000001 "446" 0.314668455412865 0.160335726940101
"85" 42000001 43000001 42500001 "353" 0.251489859823769 0.221921378805922
"86" 42500001 43500001 43000001 "358" 0.277089356987665 0.22840613139636
"87" 43000001 44000001 43500001 "407" 0.259502575487155 0.225002481278309
"88" 43500001 44500001 44000001 "352" 0.301598636367427 0.156156065163191
"89" 44000001 45000001 44500001 "345" 0.381943538285698 0.146609406838762
"90" 44500001 45500001 45000001 "397" 0.276398554697661 0.175868232088778
"91" 45000001 46000001 45500001 "437" 0.210795315794438 0.146395976948194
"92" 45500001 46500001 46000001 "370" 0.230641880295507 0.157480715066107
"93" 46000001 47000001 46500001 "Na" NA NA
"94" 46500001 47500001 47000001 "320" 0.361214458974625 0.16373870395785
"95" 47000001 48000001 47500001 "395" 0.262811715309582 0.222477893898064
"96" 47500001 48500001 48000001 "363" 0.306239045885427 0.220115174951692
"97" 48000001 49000001 48500001 "Na" NA NA
"98" 48500001 49500001 49000001 "329" 0.435600411743904 0.121222782972209
"99" 49000001 50000001 49500001 "Na" NA NA
"100" 49500001 50500001 50000001 "Na" NA NA
"101" 50000001 51000001 50500001 "Na" NA NA
