per_plot V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23
temp_spectre 500000.5 42 9 2 4 4 4 0 0 0 6 4 0 0 0 3 0 0 0 2 1 0 3
temp_spectre.1 1000000.5 56 9 5 4 8 2 0 1 1 3 4 1 0 6 7 1 0 0 2 1 0 1
temp_spectre.2 1500000.5 80 14 6 3 8 2 2 13 5 1 3 2 0 12 5 2 0 0 1 0 0 1
temp_spectre.3 2000000.5 77 10 5 5 5 4 4 14 7 2 2 1 1 9 1 2 0 0 2 0 2 0
temp_spectre.4 2500000.5 79 10 5 5 7 4 7 4 8 2 3 4 1 4 1 4 2 2 2 0 2 0
temp_spectre.5 3000000.5 86 11 5 3 12 6 11 5 6 1 7 5 1 1 1 3 2 2 1 0 0 0
temp_spectre.6 3500000.5 82 8 5 9 10 10 10 7 1 1 5 2 1 2 2 0 0 2 1 2 2 0
temp_spectre.7 4000000.5 64 9 3 10 3 7 4 6 0 3 2 2 0 2 3 2 1 2 1 2 2 0
temp_spectre.8 4500000.5 56 7 5 6 1 5 1 5 2 3 4 1 0 1 1 4 4 0 1 0 1 1
temp_spectre.9 5000000.5 71 9 6 5 1 5 2 5 3 4 4 4 0 1 1 5 3 2 1 1 2 3
temp_spectre.10 5500000.5 68 11 9 4 0 3 2 3 2 4 3 5 1 0 3 3 3 4 0 1 2 3
temp_spectre.11 6000000.5 68 15 13 8 1 3 1 4 3 2 2 1 2 0 2 1 4 2 1 0 1 1
temp_spectre.12 6500000.5 66 13 10 5 3 3 1 3 2 2 4 0 1 0 1 4 1 4 3 2 2 0
temp_spectre.13 7000000.5 76 10 7 0 8 4 6 1 0 4 4 3 2 3 1 4 2 5 3 4 3 0
temp_spectre.14 7500000.5 89 8 10 3 6 3 6 5 2 6 2 5 4 3 5 4 2 6 1 2 5 0
temp_spectre.15 8000000.5 92 7 9 7 2 4 2 7 3 6 6 4 2 3 6 3 0 8 0 6 6 0
temp_spectre.16 8500000.5 84 10 8 6 3 10 2 6 1 3 7 3 3 5 1 0 0 4 0 8 3 1
temp_spectre.17 9000000.5 61 15 6 4 5 6 1 4 0 1 2 2 3 2 0 0 1 3 0 3 1 1
temp_spectre.18 9500000.5 73 25 7 3 4 3 4 1 1 4 0 2 1 0 2 4 2 3 2 2 2 0
temp_spectre.19 10000000.5 101 31 8 3 3 5 7 3 1 4 3 2 3 2 3 4 5 3 4 2 5 0
temp_spectre.20 10500000.5 105 37 7 3 6 5 7 4 0 2 4 2 4 7 1 2 5 2 2 1 4 0
temp_spectre.21 11000000.5 94 25 10 5 6 12 5 2 2 2 2 3 3 7 1 3 1 2 0 0 1 0
temp_spectre.22 11500000.5 108 9 9 11 9 19 14 6 4 1 1 6 1 4 2 1 1 2 3 0 2 1
temp_spectre.23 12000000.5 115 13 8 17 8 12 14 6 2 3 5 4 0 3 2 4 1 1 5 1 2 4
temp_spectre.24 12500000.5 67 14 5 11 6 3 1 1 1 3 5 1 0 1 1 4 0 2 2 1 0 5
temp_spectre.25 13000000.5 66 16 5 1 7 4 1 6 3 0 2 4 4 1 0 1 0 6 1 0 2 2
temp_spectre.26 13500000.5 108 23 13 3 5 3 2 8 3 0 2 3 8 5 5 1 2 8 2 6 3 3
temp_spectre.27 14000000.5 99 23 21 3 4 0 1 6 1 3 1 1 5 4 7 0 2 3 2 7 1 3
temp_spectre.28 14500000.5 86 31 17 6 5 0 1 5 1 3 2 2 1 0 2 2 1 0 1 4 0 0
temp_spectre.29 15000000.5 85 27 20 7 4 1 2 2 3 2 2 1 1 0 1 5 1 0 0 4 0 0
temp_spectre.30 15500000.5 83 12 21 1 5 2 3 3 7 5 4 1 2 0 3 3 0 0 2 5 1 0
temp_spectre.31 16000000.5 80 13 9 3 8 5 4 3 5 5 4 2 1 0 2 0 0 4 2 7 1 0
temp_spectre.32 16500000.5 61 20 7 5 5 5 2 2 0 3 1 1 0 0 0 0 1 4 2 3 0 0
temp_spectre.33 17000000.5 79 20 8 3 5 9 0 2 3 6 2 4 0 5 1 1 3 1 4 1 1 0
temp_spectre.34 17500000.5 91 15 4 6 10 11 0 3 5 5 2 5 1 6 4 2 2 2 4 2 2 0
temp_spectre.35 18000000.5 89 17 6 9 7 4 4 6 6 1 6 2 1 1 3 1 2 3 2 3 1 1
temp_spectre.36 18500000.5 80 21 6 5 1 3 5 4 6 4 7 1 0 6 0 0 2 3 0 2 0 1
temp_spectre.37 19000000.5 87 20 15 1 4 3 3 10 4 3 3 0 1 6 1 0 1 3 0 0 0 1
temp_spectre.38 19500000.5 117 26 18 5 6 8 6 10 2 2 9 0 3 1 1 1 2 2 0 2 2 2
temp_spectre.39 20000000.5 105 27 6 8 4 7 4 1 4 7 10 0 2 5 1 3 3 1 2 3 3 1
temp_spectre.40 20500000.5 125 31 10 9 11 8 3 3 6 6 3 0 6 7 5 4 5 2 2 1 1 0
