per_plot V2 V3 V4 V5
temp_spectre 500000.5 96 29 11 13
temp_spectre.1 1000000.5 70 24 12 3
temp_spectre.2 1500000.5 64 17 12 6
temp_spectre.3 2000000.5 52 8 10 3
temp_spectre.4 2500000.5 44 3 12 1
temp_spectre.5 3000000.5 46 12 8 3
temp_spectre.6 3500000.5 45 11 6 11
temp_spectre.7 4000000.5 41 3 5 15
temp_spectre.8 4500000.5 55 8 6 8
temp_spectre.9 5000000.5 104 37 9 3
temp_spectre.10 5500000.5 198 70 15 14
temp_spectre.11 6000000.5 398 157 15 13
temp_spectre.12 6500000.5 313 129 8 3
temp_spectre.13 7000000.5 76 17 6 5
temp_spectre.14 7500000.5 97 16 14 12
temp_spectre.15 8000000.5 102 20 21 12
temp_spectre.16 8500000.5 283 89 32 24
temp_spectre.17 9000000.5 394 126 43 32
temp_spectre.18 9500000.5 168 47 24 11
temp_spectre.19 10000000.5 46 5 8 2
temp_spectre.20 10500000.5 72 20 12 3
temp_spectre.21 11000000.5 83 25 18 8
temp_spectre.22 11500000.5 72 19 17 7
temp_spectre.23 12000000.5 90 20 16 4
temp_spectre.24 12500000.5 93 30 13 4
temp_spectre.25 13000000.5 252 39 15 37
temp_spectre.26 13500000.5 279 44 25 38
temp_spectre.27 14000000.5 96 34 17 10
temp_spectre.28 14500000.5 31 10 4 8
temp_spectre.29 15000000.5 14 3 1 3
temp_spectre.30 15500000.5 58 5 10 6
temp_spectre.31 16000000.5 85 7 14 3
temp_spectre.32 16500000.5 63 12 5 3
temp_spectre.33 17000000.5 67 15 11 11
temp_spectre.34 17500000.5 84 16 14 8
temp_spectre.35 18000000.5 98 24 15 5
temp_spectre.36 18500000.5 88 24 16 9
temp_spectre.37 19000000.5 66 15 13 4
temp_spectre.38 19500000.5 71 11 13 1
temp_spectre.39 20000000.5 79 17 15 5
temp_spectre.40 20500000.5 88 18 14 8
temp_spectre.41 21000000.5 73 7 8 5
temp_spectre.42 21500000.5 57 2 6 5
temp_spectre.43 22000000.5 65 11 7 6
temp_spectre.44 22500000.5 86 17 12 9
temp_spectre.45 23000000.5 95 13 14 10
temp_spectre.46 23500000.5 72 8 10 4
temp_spectre.47 24000000.5 73 6 14 2
temp_spectre.48 24500000.5 70 10 13 1
temp_spectre.49 25000000.5 58 8 6 1
temp_spectre.50 25500000.5 67 7 7 4
temp_spectre.51 26000000.5 56 6 7 6
temp_spectre.52 26500000.5 63 9 11 10
temp_spectre.53 27000000.5 73 15 12 7
temp_spectre.54 27500000.5 77 9 5 1
temp_spectre.55 28000000.5 86 6 3 2
temp_spectre.56 28500000.5 69 13 3 1
temp_spectre.57 29000000.5 76 18 7 3
temp_spectre.58 29500000.5 79 19 13 5
temp_spectre.59 30000000.5 79 18 14 2
temp_spectre.60 30500000.5 93 17 22 6
temp_spectre.61 31000000.5 76 15 18 11
temp_spectre.62 31500000.5 58 15 12 6
temp_spectre.63 32000000.5 58 12 12 12
temp_spectre.64 32500000.5 66 5 9 17
temp_spectre.65 33000000.5 61 5 9 10
temp_spectre.66 33500000.5 56 13 12 7
temp_spectre.67 34000000.5 55 17 9 5
temp_spectre.68 34500000.5 47 17 2 4
temp_spectre.69 35000000.5 50 12 1 6
temp_spectre.70 35500000.5 60 4 2 9
temp_spectre.71 36000000.5 67 7 7 8
temp_spectre.72 36500000.5 64 6 6 8
temp_spectre.73 37000000.5 76 6 7 16
temp_spectre.74 37500000.5 86 20 8 11
temp_spectre.75 38000000.5 73 23 4 0
temp_spectre.76 38500000.5 65 9 12 8
temp_spectre.77 39000000.5 61 10 12 13
temp_spectre.78 39500000.5 83 30 6 8
temp_spectre.79 40000000.5 100 41 12 7
temp_spectre.80 40500000.5 90 31 14 6
temp_spectre.81 41000000.5 62 12 7 3
temp_spectre.82 41500000.5 50 11 7 4
temp_spectre.83 42000000.5 61 14 14 5
temp_spectre.84 42500000.5 49 4 11 2
temp_spectre.85 43000000.5 42 4 7 0
temp_spectre.86 43500000.5 81 15 5 2
temp_spectre.87 44000000.5 84 13 7 2
temp_spectre.88 44500000.5 55 2 16 0
temp_spectre.89 45000000.5 57 2 15 1
temp_spectre.90 45500000.5 68 8 8 5
temp_spectre.91 46000000.5 79 16 6 5
temp_spectre.92 46500000.5 59 14 8 4
temp_spectre.93 47000000.5 49 6 10 3
temp_spectre.94 47500000.5 43 4 6 0
temp_spectre.95 48000000.5 32 3 6 1
temp_spectre.96 48500000.5 50 12 11 1
temp_spectre.97 49000000.5 69 15 9 7
temp_spectre.98 49500000.5 62 7 7 10
temp_spectre.99 50000000.5 32 3 4 4
temp_spectre.100 50500000.5 42 3 6 4
temp_spectre.101 51000000.5 64 5 7 4
temp_spectre.102 51500000.5 68 14 6 3
temp_spectre.103 52000000.5 71 19 14 7
temp_spectre.104 52500000.5 52 14 9 5
temp_spectre.105 53000000.5 49 16 2 0
temp_spectre.106 53500000.5 71 17 9 1
temp_spectre.107 54000000.5 90 15 9 5
temp_spectre.108 54500000.5 96 19 9 7
temp_spectre.109 55000000.5 93 29 9 3
temp_spectre.110 55500000.5 71 23 12 0
temp_spectre.111 56000000.5 67 14 18 1
temp_spectre.112 56500000.5 75 9 11 4
temp_spectre.113 57000000.5 47 7 5 3
temp_spectre.114 57500000.5 32 10 3 0
temp_spectre.115 58000000.5 47 16 3 0
temp_spectre.116 58500000.5 111 29 16 13
temp_spectre.117 59000000.5 110 17 21 17
temp_spectre.118 59500000.5 60 5 10 16
temp_spectre.119 60000000.5 60 9 6 12
temp_spectre.120 60500000.5 64 6 3 0
temp_spectre.121 61000000.5 57 6 1 1
temp_spectre.122 61500000.5 49 6 3 2
temp_spectre.123 62000000.5 62 16 2 5
temp_spectre.124 62500000.5 68 22 7 5
temp_spectre.125 63000000.5 61 12 9 3
temp_spectre.126 63500000.5 59 17 10 4
temp_spectre.127 64000000.5 64 22 15 5
temp_spectre.128 64500000.5 51 17 9 4
temp_spectre.129 65000000.5 42 12 4 1
temp_spectre.130 65500000.5 51 9 3 0
temp_spectre.131 66000000.5 37 6 3 0
temp_spectre.132 66500000.5 55 3 6 4
temp_spectre.133 67000000.5 64 3 13 4
temp_spectre.134 67500000.5 40 7 14 0
temp_spectre.135 68000000.5 70 8 31 0
temp_spectre.136 68500000.5 71 3 29 2
temp_spectre.137 69000000.5 46 10 4 3
temp_spectre.138 69500000.5 43 12 5 5
temp_spectre.139 70000000.5 49 7 6 5
temp_spectre.140 70500000.5 63 10 2 2
temp_spectre.141 71000000.5 55 10 3 3
temp_spectre.142 71500000.5 92 18 15 17
temp_spectre.143 72000000.5 137 45 14 19
temp_spectre.144 72500000.5 88 35 6 4
temp_spectre.145 73000000.5 25 5 4 0
temp_spectre.146 73500000.5 30 2 6 0
temp_spectre.147 74000000.5 50 7 8 2
temp_spectre.148 74500000.5 57 14 2 3
temp_spectre.149 75000000.5 36 10 0 1
temp_spectre.150 75500000.5 15 9 0 0
temp_spectre.151 76000000.5 29 13 2 1
temp_spectre.152 76500000.5 27 6 3 1
temp_spectre.153 77000000.5 18 1 4 0
temp_spectre.154 77500000.5 30 4 7 3
temp_spectre.155 78000000.5 59 8 4 4
temp_spectre.156 78500000.5 83 21 3 8
temp_spectre.157 79000000.5 52 20 3 7
temp_spectre.158 79500000.5 7 4 0 0
temp_spectre.159 80000000.5 51 16 1 4
temp_spectre.160 80500000.5 71 23 2 6
temp_spectre.161 81000000.5 29 9 2 3
temp_spectre.162 81500000.5 18 4 2 4
temp_spectre.163 82000000.5 42 5 11 7
temp_spectre.164 82500000.5 31 3 10 4
temp_spectre.165 83000000.5 26 2 3 14
temp_spectre.166 83500000.5 30 5 4 14
temp_spectre.167 84000000.5 37 10 9 3
temp_spectre.168 84500000.5 44 7 16 3
temp_spectre.169 85000000.5 33 5 10 5
temp_spectre.170 85500000.5 27 6 4 6
temp_spectre.171 86000000.5 7 1 2 2
temp_spectre.172 86500000.5 4 0 0 2
temp_spectre.173 87000000.5 2 0 0 1
temp_spectre.174 88000000.5 25 7 1 0
temp_spectre.175 88500000.5 48 9 8 0
temp_spectre.176 89000000.5 37 4 9 1
temp_spectre.177 89500000.5 16 2 3 1
temp_spectre.178 90000000.5 7 1 1 1
temp_spectre.179 90500000.5 58 7 4 12
temp_spectre.180 91000000.5 247 47 15 24
temp_spectre.181 91500000.5 232 47 15 16
temp_spectre.182 92000000.5 90 20 8 11
temp_spectre.183 92500000.5 58 16 4 9
temp_spectre.184 93000000.5 12 4 1 3
temp_spectre.185 93500000.5 12 2 1 2
temp_spectre.186 94000000.5 10 0 0 1
temp_spectre.187 94500000.5 6 0 0 2
temp_spectre.188 95000000.5 9 1 0 1
temp_spectre.189 95500000.5 22 3 5 0
temp_spectre.190 96000000.5 38 2 7 1
temp_spectre.191 96500000.5 248 46 39 22
temp_spectre.192 97000000.5 233 46 38 23
temp_spectre.193 97500000.5 11 0 1 2
temp_spectre.194 98000000.5 9 0 1 1
temp_spectre.195 98500000.5 11 1 2 2
temp_spectre.196 99000000.5 27 5 1 7
temp_spectre.197 99500000.5 49 9 3 8
temp_spectre.198 100000000.5 38 6 3 3
temp_spectre.199 100500000.5 29 2 4 4
temp_spectre.200 101000000.5 44 6 11 9
temp_spectre.201 101500000.5 39 9 8 6
temp_spectre.202 102000000.5 36 6 7 1
temp_spectre.203 102500000.5 44 3 7 1
temp_spectre.204 103000000.5 25 1 2 0
temp_spectre.205 103500000.5 12 0 1 2
temp_spectre.206 104000000.5 29 0 3 8
temp_spectre.207 104500000.5 46 0 4 10
temp_spectre.208 105000000.5 46 1 2 5
temp_spectre.209 105500000.5 43 11 2 2
temp_spectre.210 106000000.5 55 19 7 1
temp_spectre.211 106500000.5 78 9 13 0
temp_spectre.212 107000000.5 72 3 10 1
temp_spectre.213 107500000.5 123 23 27 21
temp_spectre.214 108000000.5 149 32 32 24
temp_spectre.215 108500000.5 104 23 15 6
temp_spectre.216 109000000.5 73 19 9 3
temp_spectre.217 109500000.5 96 21 13 3
temp_spectre.218 110000000.5 120 26 16 2
temp_spectre.219 110500000.5 74 17 10 3
temp_spectre.220 111000000.5 64 13 8 3
temp_spectre.221 111500000.5 79 14 7 7
temp_spectre.222 112000000.5 81 11 14 8
temp_spectre.223 112500000.5 67 11 15 1
temp_spectre.224 113000000.5 53 10 8 2
temp_spectre.225 113500000.5 61 19 4 3
temp_spectre.226 114000000.5 92 25 5 14
temp_spectre.227 114500000.5 90 13 14 15
temp_spectre.228 115000000.5 77 13 22 5
temp_spectre.229 115500000.5 50 11 12 4
temp_spectre.230 116000000.5 28 1 4 1
temp_spectre.231 116500000.5 55 3 5 6
temp_spectre.232 117000000.5 80 19 3 6
temp_spectre.233 117500000.5 82 26 3 2
temp_spectre.234 118000000.5 85 21 7 8
temp_spectre.235 118500000.5 84 20 14 6
temp_spectre.236 119000000.5 81 17 17 3
temp_spectre.237 119500000.5 83 17 13 6
temp_spectre.238 120000000.5 56 14 7 3
temp_spectre.239 120500000.5 64 17 10 3
temp_spectre.240 121000000.5 81 17 20 3
temp_spectre.241 121500000.5 98 18 31 5
temp_spectre.242 122000000.5 94 23 19 5
temp_spectre.243 122500000.5 51 14 2 0
temp_spectre.244 123000000.5 141 32 31 24
temp_spectre.245 123500000.5 163 49 32 25
temp_spectre.246 124000000.5 56 22 3 2
temp_spectre.247 124500000.5 32 3 1 4
temp_spectre.248 125000000.5 25 2 0 5
temp_spectre.249 125500000.5 44 5 1 2
temp_spectre.250 126000000.5 80 14 12 4
temp_spectre.251 126500000.5 83 15 15 6
temp_spectre.252 127000000.5 62 10 7 4
temp_spectre.253 127500000.5 69 21 10 3
temp_spectre.254 128000000.5 83 24 16 4
temp_spectre.255 128500000.5 70 16 19 4
temp_spectre.256 129000000.5 60 11 20 4
temp_spectre.257 129500000.5 55 8 16 3
temp_spectre.258 130000000.5 71 13 12 1
temp_spectre.259 130500000.5 86 16 10 11
temp_spectre.260 131000000.5 103 21 5 11
temp_spectre.261 131500000.5 104 21 9 5
temp_spectre.262 132000000.5 94 19 23 8
temp_spectre.263 132500000.5 91 17 19 9
temp_spectre.264 133000000.5 77 15 5 7
temp_spectre.265 133500000.5 77 23 7 4
temp_spectre.266 134000000.5 83 18 8 4
temp_spectre.267 134500000.5 92 8 15 6
temp_spectre.268 135000000.5 92 10 20 6
temp_spectre.269 135500000.5 88 14 23 5
temp_spectre.270 136000000.5 96 13 22 9
temp_spectre.271 136500000.5 88 16 12 7
temp_spectre.272 137000000.5 90 23 11 9
temp_spectre.273 137500000.5 83 18 10 10
temp_spectre.274 138000000.5 62 15 7 3
temp_spectre.275 138500000.5 69 21 6 2
temp_spectre.276 139000000.5 81 21 15 3
temp_spectre.277 139500000.5 80 13 17 5
temp_spectre.278 140000000.5 93 14 21 7
temp_spectre.279 140500000.5 102 13 26 7
temp_spectre.280 141000000.5 67 7 13 3
temp_spectre.281 141500000.5 49 6 12 7
temp_spectre.282 142000000.5 78 16 22 9
temp_spectre.283 142500000.5 88 21 17 8
temp_spectre.284 143000000.5 72 19 15 6
temp_spectre.285 143500000.5 79 18 20 3
temp_spectre.286 144000000.5 108 21 21 7
temp_spectre.287 144500000.5 110 29 18 11
temp_spectre.288 145000000.5 94 16 20 12
temp_spectre.289 145500000.5 79 4 15 7
temp_spectre.290 146000000.5 71 10 12 4
temp_spectre.291 146500000.5 87 14 16 4
temp_spectre.292 147000000.5 95 18 11 4
temp_spectre.293 147500000.5 76 19 8 4
temp_spectre.294 148000000.5 69 11 9 6
temp_spectre.295 148500000.5 87 19 6 4
temp_spectre.296 149000000.5 83 22 6 2
temp_spectre.297 149500000.5 65 15 10 4
temp_spectre.298 150000000.5 37 9 6 4
temp_spectre.299 150500000.5 7 1 2 2
