per_plot V2 V3 V4 V5 V6 V7 V8
temp_spectre 500000.5 96 18 11 7 10 6 9
temp_spectre.1 1000000.5 70 7 10 7 8 3 8
temp_spectre.2 1500000.5 64 4 14 10 6 5 9
temp_spectre.3 2000000.5 52 12 11 10 3 2 8
temp_spectre.4 2500000.5 44 19 8 8 1 0 0
temp_spectre.5 3000000.5 46 14 11 6 1 3 1
temp_spectre.6 3500000.5 45 17 7 3 0 5 4
temp_spectre.7 4000000.5 41 21 4 2 1 2 4
temp_spectre.8 4500000.5 55 17 7 2 2 4 4
temp_spectre.9 5000000.5 104 22 18 11 5 9 3
temp_spectre.10 5500000.5 198 49 33 34 16 12 4
temp_spectre.11 6000000.5 398 79 54 57 69 13 4
temp_spectre.12 6500000.5 313 57 39 37 58 8 3
temp_spectre.13 7000000.5 76 23 6 8 2 4 4
temp_spectre.14 7500000.5 97 20 11 23 5 5 6
temp_spectre.15 8000000.5 102 18 17 26 5 9 6
temp_spectre.16 8500000.5 283 95 45 16 16 18 9
temp_spectre.17 9000000.5 394 125 51 23 29 19 11
temp_spectre.18 9500000.5 168 45 14 15 15 8 4
temp_spectre.19 10000000.5 46 11 3 1 2 1 3
temp_spectre.20 10500000.5 72 14 5 6 6 4 2
temp_spectre.21 11000000.5 83 18 12 9 8 8 0
temp_spectre.22 11500000.5 72 15 12 7 3 7 3
temp_spectre.23 12000000.5 90 29 4 5 5 11 5
temp_spectre.24 12500000.5 93 29 4 3 9 17 3
temp_spectre.25 13000000.5 252 59 41 38 13 21 21
temp_spectre.26 13500000.5 279 63 52 45 19 19 21
temp_spectre.27 14000000.5 96 17 13 13 18 11 1
temp_spectre.28 14500000.5 31 6 0 4 9 4 0
temp_spectre.29 15000000.5 14 1 2 1 2 2 1
temp_spectre.30 15500000.5 58 18 5 14 5 2 3
temp_spectre.31 16000000.5 85 23 6 17 9 6 3
temp_spectre.32 16500000.5 63 13 4 4 6 10 4
temp_spectre.33 17000000.5 67 14 5 9 6 7 8
temp_spectre.34 17500000.5 84 19 7 13 10 4 6
temp_spectre.35 18000000.5 98 31 13 5 18 5 4
temp_spectre.36 18500000.5 88 28 10 3 19 6 3
temp_spectre.37 19000000.5 66 23 0 3 7 5 6
temp_spectre.38 19500000.5 71 29 2 3 5 5 7
temp_spectre.39 20000000.5 79 36 5 6 10 5 2
temp_spectre.40 20500000.5 88 29 9 9 13 5 3
temp_spectre.41 21000000.5 73 18 10 7 8 3 2
temp_spectre.42 21500000.5 57 18 5 2 2 2 0
temp_spectre.43 22000000.5 65 23 5 0 5 3 1
temp_spectre.44 22500000.5 86 35 10 10 4 4 5
temp_spectre.45 23000000.5 95 30 8 19 4 4 4
temp_spectre.46 23500000.5 72 15 4 13 7 5 2
temp_spectre.47 24000000.5 73 28 8 5 5 5 2
temp_spectre.48 24500000.5 70 30 10 5 4 5 0
temp_spectre.49 25000000.5 58 26 9 7 3 4 2
temp_spectre.50 25500000.5 67 32 7 5 4 2 2
temp_spectre.51 26000000.5 56 23 2 5 6 5 1
temp_spectre.52 26500000.5 63 18 3 9 6 7 3
temp_spectre.53 27000000.5 73 15 5 10 5 12 6
temp_spectre.54 27500000.5 77 18 4 7 11 10 5
temp_spectre.55 28000000.5 86 24 5 6 10 4 2
temp_spectre.56 28500000.5 69 15 4 7 9 5 1
temp_spectre.57 29000000.5 76 21 9 9 11 2 2
temp_spectre.58 29500000.5 79 27 11 10 6 2 4
temp_spectre.59 30000000.5 79 34 6 10 5 2 5
temp_spectre.60 30500000.5 93 37 7 7 13 1 8
temp_spectre.61 31000000.5 76 22 10 3 13 3 8
temp_spectre.62 31500000.5 58 14 10 2 5 7 6
temp_spectre.63 32000000.5 58 16 6 6 6 6 4
temp_spectre.64 32500000.5 66 27 4 6 9 1 1
temp_spectre.65 33000000.5 61 20 5 6 8 1 2
temp_spectre.66 33500000.5 56 18 3 7 4 7 2
temp_spectre.67 34000000.5 55 21 1 5 4 9 3
temp_spectre.68 34500000.5 47 11 3 3 8 7 3
temp_spectre.69 35000000.5 50 11 10 1 8 4 1
temp_spectre.70 35500000.5 60 11 19 5 4 2 1
temp_spectre.71 36000000.5 67 16 16 4 3 3 3
temp_spectre.72 36500000.5 64 21 6 3 6 3 3
temp_spectre.73 37000000.5 76 27 3 6 10 11 2
temp_spectre.74 37500000.5 86 26 11 7 9 10 3
temp_spectre.75 38000000.5 73 17 11 6 9 4 2
temp_spectre.76 38500000.5 65 22 5 8 5 3 3
temp_spectre.77 39000000.5 61 26 6 10 2 2 2
temp_spectre.78 39500000.5 83 25 5 13 10 8 1
temp_spectre.79 40000000.5 100 19 9 14 21 11 2
temp_spectre.80 40500000.5 90 21 14 9 16 7 1
temp_spectre.81 41000000.5 62 15 7 9 5 3 2
temp_spectre.82 41500000.5 50 11 6 7 6 1 3
temp_spectre.83 42000000.5 61 10 18 3 9 0 1
temp_spectre.84 42500000.5 49 7 16 3 8 1 0
temp_spectre.85 43000000.5 42 12 8 2 11 1 0
temp_spectre.86 43500000.5 81 21 11 11 9 0 1
temp_spectre.87 44000000.5 84 21 11 15 4 2 2
temp_spectre.88 44500000.5 55 17 6 6 5 4 4
temp_spectre.89 45000000.5 57 12 7 3 5 2 5
temp_spectre.90 45500000.5 68 12 10 3 4 4 7
temp_spectre.91 46000000.5 79 29 8 5 1 5 5
temp_spectre.92 46500000.5 59 23 7 4 2 3 2
temp_spectre.93 47000000.5 49 13 4 1 3 5 3
temp_spectre.94 47500000.5 43 12 3 3 1 3 1
temp_spectre.95 48000000.5 32 12 3 3 4 1 0
temp_spectre.96 48500000.5 50 12 5 1 5 1 2
temp_spectre.97 49000000.5 69 17 6 4 6 4 4
temp_spectre.98 49500000.5 62 24 5 4 5 4 3
temp_spectre.99 50000000.5 32 12 5 1 0 0 1
temp_spectre.100 50500000.5 42 14 5 2 1 4 2
temp_spectre.101 51000000.5 64 32 7 2 1 5 2
temp_spectre.102 51500000.5 68 25 7 1 2 2 0
temp_spectre.103 52000000.5 71 11 16 1 5 4 0
temp_spectre.104 52500000.5 52 8 14 5 6 5 1
temp_spectre.105 53000000.5 49 7 4 9 5 5 3
temp_spectre.106 53500000.5 71 19 5 5 8 9 5
temp_spectre.107 54000000.5 90 32 10 2 10 7 8
temp_spectre.108 54500000.5 96 40 11 4 6 3 5
temp_spectre.109 55000000.5 93 45 5 8 7 3 2
temp_spectre.110 55500000.5 71 30 2 6 5 5 7
temp_spectre.111 56000000.5 67 20 12 6 1 5 5
temp_spectre.112 56500000.5 75 19 17 6 1 2 3
temp_spectre.113 57000000.5 47 8 8 1 1 3 6
temp_spectre.114 57500000.5 32 3 2 0 1 4 4
temp_spectre.115 58000000.5 47 3 3 1 3 6 2
temp_spectre.116 58500000.5 111 20 12 10 9 9 10
temp_spectre.117 59000000.5 110 24 15 10 8 11 9
temp_spectre.118 59500000.5 60 14 20 4 2 6 0
temp_spectre.119 60000000.5 60 18 19 5 1 1 0
temp_spectre.120 60500000.5 64 22 6 6 3 5 2
temp_spectre.121 61000000.5 57 21 2 6 3 5 2
temp_spectre.122 61500000.5 49 19 9 3 1 2 0
temp_spectre.123 62000000.5 62 20 14 9 1 1 2
temp_spectre.124 62500000.5 68 16 11 17 7 1 2
temp_spectre.125 63000000.5 61 11 16 11 7 1 1
temp_spectre.126 63500000.5 59 10 12 3 1 2 4
temp_spectre.127 64000000.5 64 12 5 9 4 2 4
temp_spectre.128 64500000.5 51 16 8 10 6 0 1
temp_spectre.129 65000000.5 42 17 6 2 5 1 0
temp_spectre.130 65500000.5 51 29 7 0 3 2 0
temp_spectre.131 66000000.5 37 21 7 0 0 1 0
temp_spectre.132 66500000.5 55 12 11 7 4 6 0
temp_spectre.133 67000000.5 64 15 14 10 5 8 0
temp_spectre.134 67500000.5 40 7 5 5 3 4 6
temp_spectre.135 68000000.5 70 13 17 10 6 2 6
temp_spectre.136 68500000.5 71 13 22 8 6 1 0
temp_spectre.137 69000000.5 46 6 8 0 3 9 1
temp_spectre.138 69500000.5 43 5 4 8 1 9 1
temp_spectre.139 70000000.5 49 9 1 11 2 3 0
temp_spectre.140 70500000.5 63 11 0 3 3 3 0
temp_spectre.141 71000000.5 55 10 2 2 2 1 0
temp_spectre.142 71500000.5 92 15 13 5 4 6 9
temp_spectre.143 72000000.5 137 31 19 3 3 9 9
temp_spectre.144 72500000.5 88 24 9 6 1 4 3
temp_spectre.145 73000000.5 25 3 1 6 2 1 3
temp_spectre.146 73500000.5 30 4 14 0 7 0 0
temp_spectre.147 74000000.5 50 8 16 0 8 2 1
temp_spectre.148 74500000.5 57 16 5 2 4 5 1
temp_spectre.149 75000000.5 36 12 4 2 3 3 0
temp_spectre.150 75500000.5 15 5 1 2 1 6 0
temp_spectre.151 76000000.5 29 8 1 3 0 9 0
temp_spectre.152 76500000.5 27 3 1 3 7 3 0
temp_spectre.153 77000000.5 18 2 0 3 7 3 0
temp_spectre.154 77500000.5 30 6 1 3 3 5 0
temp_spectre.155 78000000.5 59 14 2 7 4 4 0
temp_spectre.156 78500000.5 83 27 6 12 3 4 0
temp_spectre.157 79000000.5 52 19 5 7 4 2 0
temp_spectre.158 79500000.5 7 3 1 0 2 0 0
temp_spectre.159 80000000.5 51 20 4 2 3 1 1
temp_spectre.160 80500000.5 71 23 8 5 4 1 3
temp_spectre.161 81000000.5 29 6 5 4 1 0 3
temp_spectre.162 81500000.5 18 3 0 6 1 0 1
temp_spectre.163 82000000.5 42 9 4 10 3 3 3
temp_spectre.164 82500000.5 31 8 4 5 2 3 3
temp_spectre.165 83000000.5 26 0 0 2 0 3 14
temp_spectre.166 83500000.5 30 0 0 2 0 4 14
temp_spectre.167 84000000.5 37 6 2 3 5 1 2
temp_spectre.168 84500000.5 44 9 2 3 9 3 2
temp_spectre.169 85000000.5 33 10 3 3 6 3 2
temp_spectre.170 85500000.5 27 7 4 5 2 1 2
temp_spectre.171 86000000.5 7 1 1 3 0 1 0
temp_spectre.172 86500000.5 4 1 0 2 0 0 0
temp_spectre.173 87000000.5 2 0 0 1 0 0 0
temp_spectre.174 88000000.5 25 3 0 1 1 0 0
temp_spectre.175 88500000.5 48 14 2 4 1 2 1
temp_spectre.176 89000000.5 37 11 5 6 1 2 3
temp_spectre.177 89500000.5 16 1 3 4 1 0 2
temp_spectre.178 90000000.5 7 3 0 1 0 1 1
temp_spectre.179 90500000.5 58 20 1 8 2 11 5
temp_spectre.180 91000000.5 247 79 17 19 11 15 16
temp_spectre.181 91500000.5 232 68 17 12 13 7 13
temp_spectre.182 92000000.5 90 19 6 3 10 4 4
temp_spectre.183 92500000.5 58 15 5 3 6 2 3
temp_spectre.184 93000000.5 12 6 0 2 1 0 0
temp_spectre.185 93500000.5 12 7 0 1 1 0 0
temp_spectre.186 94000000.5 10 4 0 1 0 0 0
temp_spectre.187 94500000.5 6 0 0 1 0 0 0
temp_spectre.188 95000000.5 9 5 0 0 0 0 0
temp_spectre.189 95500000.5 22 9 3 3 1 1 0
temp_spectre.190 96000000.5 38 19 4 6 1 1 0
temp_spectre.191 96500000.5 248 69 49 23 18 11 11
temp_spectre.192 97000000.5 233 59 48 21 18 12 11
temp_spectre.193 97500000.5 11 5 0 1 0 1 0
temp_spectre.194 98000000.5 9 1 1 2 0 1 0
temp_spectre.195 98500000.5 11 2 1 4 0 1 0
temp_spectre.196 99000000.5 27 14 0 5 2 2 0
temp_spectre.197 99500000.5 49 19 1 4 8 4 1
temp_spectre.198 100000000.5 38 7 1 6 6 3 1
temp_spectre.199 100500000.5 29 5 1 8 5 3 0
temp_spectre.200 101000000.5 44 9 2 9 9 4 3
temp_spectre.201 101500000.5 39 7 2 8 5 3 3
temp_spectre.202 102000000.5 36 9 5 3 1 1 5
temp_spectre.203 102500000.5 44 9 9 4 2 0 5
temp_spectre.204 103000000.5 25 3 5 4 2 1 0
temp_spectre.205 103500000.5 12 2 3 1 2 1 0
temp_spectre.206 104000000.5 29 5 7 4 3 0 0
temp_spectre.207 104500000.5 46 14 8 6 4 0 0
temp_spectre.208 105000000.5 46 15 5 4 11 1 0
temp_spectre.209 105500000.5 43 6 1 5 13 1 0
temp_spectre.210 106000000.5 55 7 2 7 6 7 0
temp_spectre.211 106500000.5 78 23 2 4 1 12 2
temp_spectre.212 107000000.5 72 22 1 1 0 6 4
temp_spectre.213 107500000.5 123 18 8 9 9 8 32
temp_spectre.214 108000000.5 149 28 12 12 18 8 34
temp_spectre.215 108500000.5 104 33 9 6 16 5 7
temp_spectre.216 109000000.5 73 20 8 5 9 7 3
temp_spectre.217 109500000.5 96 32 11 8 5 7 3
temp_spectre.218 110000000.5 120 44 12 10 5 10 7
temp_spectre.219 110500000.5 74 24 7 5 2 9 10
temp_spectre.220 111000000.5 64 21 15 3 1 4 8
temp_spectre.221 111500000.5 79 37 18 4 2 3 3
temp_spectre.222 112000000.5 81 32 13 4 6 9 1
temp_spectre.223 112500000.5 67 9 10 5 7 7 1
temp_spectre.224 113000000.5 53 8 5 2 2 0 4
temp_spectre.225 113500000.5 61 15 11 2 1 1 3
temp_spectre.226 114000000.5 92 21 14 9 3 6 7
temp_spectre.227 114500000.5 90 23 11 11 3 5 7
temp_spectre.228 115000000.5 77 26 7 16 2 2 1
