"low_bound_SFS" "upper_bound_SFS" "mid_wind_SFS" "Nmb_Positions_SFS" "Nb_SNP_SFS" "dist_eucli"
"temp_spectre" 0 1e+06 500000.5 42 42 6.3646070442044
"temp_spectre.1" 5e+05 1500000 1000000.5 56 56 4.22450090409117
"temp_spectre.2" 1e+06 2e+06 1500000.5 80 80 5.21020195172834
"temp_spectre.3" 1500000 2500000 2000000.5 77 77 4.45115746576437
"temp_spectre.4" 2e+06 3e+06 2500000.5 79 79 1.82482978447543
"temp_spectre.5" 2500000 3500000 3000000.5 86 86 2.78211053201965
"temp_spectre.6" 3e+06 4e+06 3500000.5 82 82 2.36606975344648
"temp_spectre.7" 3500000 4500000 4000000.5 64 64 1.56832205686996
"temp_spectre.8" 4e+06 5e+06 4500000.5 56 56 2.49520120970564
"temp_spectre.9" 4500000 5500000 5000000.5 71 71 2.05761127320824
"temp_spectre.10" 5e+06 6e+06 5500000.5 68 68 2.08337877395324
"temp_spectre.11" 5500000 6500000 6000000.5 68 68 1.30667444075923
"temp_spectre.12" 6e+06 7e+06 6500000.5 66 66 1.53836681128922
"temp_spectre.13" 6500000 7500000 7000000.5 76 76 1.60486770427262
"temp_spectre.14" 7e+06 8e+06 7500000.5 89 89 1.64389146271043
"temp_spectre.15" 7500000 8500000 8000000.5 92 92 2.69809107914117
"temp_spectre.16" 8e+06 9e+06 8500000.5 84 84 2.61020882193891
"temp_spectre.17" 8500000 9500000 9000000.5 61 61 1.47072294954933
"temp_spectre.18" 9e+06 1e+07 9500000.5 73 73 1.22043772286789
"temp_spectre.19" 9500000 10500000 10000000.5 101 101 0.93661450793465
"temp_spectre.20" 1e+07 1.1e+07 10500000.5 105 105 1.39989957029057
"temp_spectre.21" 10500000 11500000 11000000.5 94 94 2.06608126475568
"temp_spectre.22" 1.1e+07 1.2e+07 11500000.5 108 108 2.4530128968559
"temp_spectre.23" 11500000 12500000 12000000.5 115 115 1.79046560271876
"temp_spectre.24" 1.2e+07 1.3e+07 12500000.5 67 67 4.39715264785159
"temp_spectre.25" 12500000 13500000 13000000.5 66 66 2.51261076109597
"temp_spectre.26" 1.3e+07 1.4e+07 13500000.5 108 108 1.55883844897057
"temp_spectre.27" 13500000 14500000 14000000.5 99 99 1.83596439978823
"temp_spectre.28" 1.4e+07 1.5e+07 14500000.5 86 86 1.83389052113081
"temp_spectre.29" 14500000 15500000 15000000.5 85 85 2.15463786834218
"temp_spectre.30" 1.5e+07 1.6e+07 15500000.5 83 83 2.13487392151457
"temp_spectre.31" 15500000 16500000 16000000.5 80 80 2.30958826654477
"temp_spectre.32" 1.6e+07 1.7e+07 16500000.5 61 61 2.06702729885173
"temp_spectre.33" 16500000 17500000 17000000.5 79 79 1.90185898378462
"temp_spectre.34" 1.7e+07 1.8e+07 17500000.5 91 91 1.59583399340498
"temp_spectre.35" 17500000 18500000 18000000.5 89 89 1.06512686920982
"temp_spectre.36" 1.8e+07 1.9e+07 18500000.5 80 80 2.35836465832306
"temp_spectre.37" 18500000 19500000 19000000.5 87 87 2.52977169757796
"temp_spectre.38" 1.9e+07 2e+07 19500000.5 117 117 1.67302618880761
"temp_spectre.39" 19500000 20500000 20000000.5 105 105 1.46502823386952
"temp_spectre.40" 2e+07 2.1e+07 20500000.5 125 125 1.45482279410212
"temp_spectre.41" 20500000 21500000 21000000.5 144 144 1.60788684957734
"temp_spectre.42" 2.1e+07 2.2e+07 21500000.5 123 123 1.31443431731894
"temp_spectre.43" 21500000 22500000 22000000.5 84 84 1.4799943327788
"temp_spectre.44" 2.2e+07 2.3e+07 22500000.5 55 55 1.52379012308702
"temp_spectre.45" 22500000 23500000 23000000.5 88 88 1.41163210262662
"temp_spectre.46" 2.3e+07 2.4e+07 23500000.5 103 103 2.77113026160648
"temp_spectre.47" 23500000 24500000 24000000.5 83 83 4.93021498218003
"temp_spectre.48" 2.4e+07 2.5e+07 24500000.5 75 75 2.17923654302619
"temp_spectre.49" 24500000 25500000 25000000.5 73 73 2.58467903975707
"temp_spectre.50" 2.5e+07 2.6e+07 25500000.5 61 61 3.1720075589887
"temp_spectre.51" 25500000 26500000 26000000.5 149 149 5.85472693828355
"temp_spectre.52" 2.6e+07 2.7e+07 26500000.5 150 150 5.51593990618851
"temp_spectre.53" 26500000 27500000 27000000.5 62 62 2.25175073872493
"temp_spectre.54" 2.7e+07 2.8e+07 27500000.5 66 66 1.56858915213483
"temp_spectre.55" 27500000 28500000 28000000.5 68 68 1.69712127066317
"temp_spectre.56" 2.8e+07 2.9e+07 28500000.5 70 70 2.40213133334621
"temp_spectre.57" 28500000 29500000 29000000.5 84 84 2.33046945569131
"temp_spectre.58" 2.9e+07 3e+07 29500000.5 93 93 2.09435039979311
"temp_spectre.59" 29500000 30500000 30000000.5 62 62 2.89784842128162
"temp_spectre.60" 3e+07 3.1e+07 30500000.5 54 54 3.42304166930569
"temp_spectre.61" 30500000 31500000 31000000.5 80 80 2.64415065763587
"temp_spectre.62" 3.1e+07 3.2e+07 31500000.5 74 74 2.56632790349621
"temp_spectre.63" 31500000 32500000 32000000.5 103 103 1.96576316003561
"temp_spectre.64" 3.2e+07 3.3e+07 32500000.5 118 118 2.03955175751251
"temp_spectre.65" 32500000 33500000 33000000.5 59 59 2.00264700069587
"temp_spectre.66" 3.3e+07 3.4e+07 33500000.5 49 49 3.27136550790904
"temp_spectre.67" 33500000 34500000 34000000.5 50 50 3.40225102391459
"temp_spectre.68" 3.4e+07 3.5e+07 34500000.5 63 63 2.72925620095686
"temp_spectre.69" 34500000 35500000 35000000.5 71 71 1.89678732768337
"temp_spectre.70" 3.5e+07 3.6e+07 35500000.5 74 74 1.90144701376858
"temp_spectre.71" 35500000 36500000 36000000.5 92 92 1.6636655514753
"temp_spectre.72" 3.6e+07 3.7e+07 36500000.5 87 87 1.5977950456674
"temp_spectre.73" 36500000 37500000 37000000.5 67 67 2.28085165927446
"temp_spectre.74" 3.7e+07 3.8e+07 37500000.5 51 51 2.60491144988083
"temp_spectre.75" 37500000 38500000 38000000.5 54 54 2.24785833070442
"temp_spectre.76" 3.8e+07 3.9e+07 38500000.5 63 63 2.08585760140395
"temp_spectre.77" 38500000 39500000 39000000.5 55 55 1.7682149532215
"temp_spectre.78" 3.9e+07 4e+07 39500000.5 30 30 3.37165682965554
"temp_spectre.79" 39500000 40500000 40000000.5 217 217 8.61137403467956
"temp_spectre.80" 4e+07 4.1e+07 40500000.5 286 286 4.99237418437209
"temp_spectre.81" 40500000 41500000 41000000.5 116 116 2.13715728000373
"temp_spectre.82" 4.1e+07 4.2e+07 41500000.5 96 96 1.91333070451793
"temp_spectre.83" 41500000 42500000 42000000.5 112 112 1.98855881270652
"temp_spectre.84" 4.2e+07 4.3e+07 42500000.5 74 74 1.62819798804914
"temp_spectre.85" 42500000 43500000 43000000.5 61 61 3.7172813537458
"temp_spectre.86" 4.3e+07 4.4e+07 43500000.5 71 71 3.16691126132253
"temp_spectre.87" 43500000 44500000 44000000.5 59 59 2.33441263923366
