per_plot V2 V3 V4 V5 V6 V7 V8 V9
temp_spectre 500000.5 96 14 12 11 13 6 4 0
temp_spectre.1 1000000.5 70 10 7 6 10 6 0 1
temp_spectre.2 1500000.5 64 6 3 9 7 17 2 1
temp_spectre.3 2000000.5 52 1 4 10 5 12 4 1
temp_spectre.4 2500000.5 44 4 4 6 2 0 5 4
temp_spectre.5 3000000.5 46 5 5 3 4 3 7 5
temp_spectre.6 3500000.5 45 4 3 5 3 4 8 2
temp_spectre.7 4000000.5 41 3 2 7 1 3 5 0
temp_spectre.8 4500000.5 55 13 8 4 1 3 4 3
temp_spectre.9 5000000.5 104 29 16 8 11 3 4 3
temp_spectre.10 5500000.5 198 40 27 25 26 12 7 2
temp_spectre.11 6000000.5 398 62 51 46 70 18 7 2
temp_spectre.12 6500000.5 313 55 45 30 54 8 5 1
temp_spectre.13 7000000.5 76 21 16 3 4 1 5 2
temp_spectre.14 7500000.5 97 13 11 19 8 7 6 7
temp_spectre.15 8000000.5 102 21 10 21 7 8 6 6
temp_spectre.16 8500000.5 283 93 26 24 17 9 11 14
temp_spectre.17 9000000.5 394 123 43 34 22 14 18 19
temp_spectre.18 9500000.5 168 44 29 14 9 7 11 5
temp_spectre.19 10000000.5 46 7 11 4 4 0 4 1
temp_spectre.20 10500000.5 72 16 7 9 5 0 6 1
temp_spectre.21 11000000.5 83 17 13 11 3 2 7 2
temp_spectre.22 11500000.5 72 13 12 9 6 5 3 3
temp_spectre.23 12000000.5 90 31 8 8 9 3 2 1
temp_spectre.24 12500000.5 93 28 10 12 9 1 7 0
temp_spectre.25 13000000.5 252 47 37 35 14 8 23 12
temp_spectre.26 13500000.5 279 51 37 34 14 14 27 15
temp_spectre.27 14000000.5 96 10 10 11 10 11 11 3
temp_spectre.28 14500000.5 31 3 5 4 6 4 1 0
temp_spectre.29 15000000.5 14 3 2 3 4 0 0 0
temp_spectre.30 15500000.5 58 7 5 5 9 11 1 1
temp_spectre.31 16000000.5 85 9 7 6 8 11 4 9
temp_spectre.32 16500000.5 63 11 10 6 3 1 3 8
temp_spectre.33 17000000.5 67 13 14 5 6 4 7 1
temp_spectre.34 17500000.5 84 22 11 7 7 7 7 3
temp_spectre.35 18000000.5 98 24 7 7 11 8 2 6
temp_spectre.36 18500000.5 88 14 8 6 10 8 5 5
temp_spectre.37 19000000.5 66 9 8 7 2 8 4 1
temp_spectre.38 19500000.5 71 8 12 9 4 5 1 0
temp_spectre.39 20000000.5 79 8 14 11 5 4 4 2
temp_spectre.40 20500000.5 88 13 14 12 2 3 5 6
temp_spectre.41 21000000.5 73 20 11 8 1 0 1 4
temp_spectre.42 21500000.5 57 23 5 4 1 0 1 0
temp_spectre.43 22000000.5 65 18 3 3 5 3 3 2
temp_spectre.44 22500000.5 86 17 7 3 7 10 2 4
temp_spectre.45 23000000.5 95 19 10 7 2 9 0 9
temp_spectre.46 23500000.5 72 15 8 9 1 4 2 8
temp_spectre.47 24000000.5 73 11 9 11 2 4 2 1
temp_spectre.48 24500000.5 70 10 9 10 1 4 1 2
temp_spectre.49 25000000.5 58 7 6 10 4 4 2 2
temp_spectre.50 25500000.5 67 8 3 11 6 4 2 0
temp_spectre.51 26000000.5 56 11 3 6 4 3 3 5
temp_spectre.52 26500000.5 63 12 7 7 2 4 3 7
temp_spectre.53 27000000.5 73 14 11 8 5 8 2 4
temp_spectre.54 27500000.5 77 13 19 3 6 5 3 4
temp_spectre.55 28000000.5 86 23 16 2 4 0 4 2
temp_spectre.56 28500000.5 69 21 7 4 3 3 8 3
temp_spectre.57 29000000.5 76 22 5 4 4 4 10 3
