Chr	length
SUPER_1	274107945
SUPER_2	239769335
SUPER_3	233268383
SUPER_4	205643877
SUPER_5	201867306
SUPER_6	199472098
SUPER_7	193532774
SUPER_8	178954087
SUPER_9	173482188
SUPER_10	171616123
SUPER_11	169918123
SUPER_12	153340763
SUPER_13	146975297
SUPER_14	150295438
SUPER_15	137458834
SUPER_16	123494552
SUPER_17	122117421
SUPER_18	118536060
SUPER_19	115848844
SUPER_20	115949147
SUPER_21	91247695
SUPER_22	69453865
SUPER_23	54603274
SUPER_24	33366358
SUPER_25	48752847
SUPER_26	46453226
SUPER_27	20355162
SUPER_28	39663097
SUPER_29	16521807
SUPER_30	37228811
SUPER_31	33130580
SUPER_32	30807379
SUPER_33	22667188
SUPER_34	30049857
SUPER_35	9475417
SUPER_36	10280092
SUPER_37	9073846
SUPER_38	2983599
SUPER_39	2721611
SUPER_40	3712701
